user_id,gender,income_level,age
8589934736,Male,Low,18 - 24
8589934743,Female,Low,35 - 44
8589934746,Male,Low,< 18
8589934752,Female,High,35 - 44
8589934756,Female,Medium,25 - 34
8589934758,Female,High,18 - 24
8589934761,Female,Low,25 - 34
8589934763,Male,Medium,18 - 24
8589934770,Male,High,25 - 34
8589934771,Female,Low,25 - 34
8589934772,Male,Medium,25 - 34
8589934781,Male,Medium,35 - 44
8589934783,Male,Medium,25 - 34
8589934789,Male,Medium,25 - 34
8589934793,Male,Medium,18 - 24
8589934806,Male,Low,35 - 44
8589934809,Male,Low,< 18
8589934815,Female,Low,< 18
8589934817,Female,Low,18 - 24
8589934821,Male,High,18 - 24
8589934830,Male,Low,25 - 34
8589934831,Female,Low,25 - 34
8589934859,Female,High,18 - 24
8589934869,Female,Low,18 - 24
8589934881,Male,Medium,25 - 34
8589934907,Male,Medium,18 - 24
8589934929,Female,Low,< 18
8589934934,Male,Medium,18 - 24
8589934967,Female,High,< 18
8589934981,Male,Low,< 18
8589934986,Female,Low,< 18
8589934992,Female,Low,18 - 24
8589934997,Male,Low,18 - 24
8589935002,Male,High,25 - 34
8589935004,Female,Low,18 - 24
8589935014,Female,Low,25 - 34
8589935047,Male,Low,25 - 34
8589935064,Female,Low,25 - 34
8589935104,Male,Medium,25 - 34
8589935130,Female,Low,25 - 34
8589935156,Female,Low,< 18
8589935171,Female,High,< 18
17179869211,Female,Medium,18 - 24
17179869225,Male,Medium,25 - 34
17179869233,Male,Low,25 - 34
17179869235,Female,High,18 - 24
17179869236,Male,Medium,25 - 34
17179869238,Male,Medium,25 - 34
17179869240,Female,Medium,18 - 24
17179869241,Male,Low,25 - 34
17179869246,Male,Medium,25 - 34
17179869248,Female,Medium,25 - 34
17179869251,Female,Medium,25 - 34
17179869253,Female,Low,25 - 34
17179869260,Female,High,18 - 24
17179869263,Male,Low,35 - 44
17179869265,Female,High,25 - 34
17179869267,Female,Low,25 - 34
17179869272,Female,Medium,25 - 34
17179869275,Male,Medium,25 - 34
17179869290,Female,Medium,25 - 34
17179869292,Male,High,25 - 34
17179869293,Male,Medium,25 - 34
17179869305,Male,Medium,35 - 44
17179869306,Male,Medium,18 - 24
17179869308,Female,Low,25 - 34
17179869309,Male,Medium,25 - 34
17179869316,Male,Medium,18 - 24
17179869324,Female,Medium,25 - 34
17179869325,Female,Low,18 - 24
17179869338,Male,Medium,25 - 34
17179869340,Male,Low,25 - 34
17179869342,Male,Low,< 18
17179869347,Female,High,25 - 34
17179869356,Male,Low,25 - 34
17179869357,Male,Medium,< 18
17179869364,Male,Low,25 - 34
17179869373,Female,Medium,< 18
17179869374,Female,Medium,55+
17179869375,Male,Low,25 - 34
17179869382,Female,Medium,25 - 34
17179869386,Female,Low,25 - 34
17179869389,Male,Low,< 18
17179869417,Female,Low,25 - 34
17179869420,Male,Low,25 - 34
17179869443,Male,Low,35 - 44
17179869452,Female,Low,< 18
17179869476,Female,Medium,< 18
17179869482,Male,High,35 - 44
17179869495,Female,Medium,35 - 44
17179869496,Female,Low,25 - 34
17179869509,Male,Medium,55+
17179869513,Male,Medium,25 - 34
17179869550,Male,Low,25 - 34
17179869565,Female,Medium,< 18
17179869574,Male,Medium,18 - 24
17179869583,Female,Low,< 18
17179869592,Male,Low,18 - 24
17179869594,Female,Low,< 18
17179869599,Male,Low,25 - 34
17179869604,Female,Medium,18 - 24
17179869608,Male,Medium,25 - 34
17179869610,Female,Low,18 - 24
17179869612,Male,Low,18 - 24
17179869625,Female,Medium,18 - 24
17179869644,Male,Medium,35 - 44
17179869693,Female,High,< 18
17179869710,Female,Medium,35 - 44
17179869711,Male,Medium,25 - 34
17179869718,Male,Low,18 - 24
17179869719,Male,Medium,18 - 24
17179869722,Female,Low,25 - 34
25769803810,Male,Low,< 18
25769803839,Female,Medium,35 - 44
25769803841,Male,Medium,18 - 24
25769803845,Male,Medium,18 - 24
25769803847,Male,Low,25 - 34
25769803848,Female,High,18 - 24
25769803849,Female,Medium,18 - 24
25769803850,Female,Low,25 - 34
25769803851,Male,Low,35 - 44
25769803853,Male,High,35 - 44
25769803854,Male,Low,25 - 34
25769803857,Male,Low,45 - 54
25769803859,Female,Medium,18 - 24
25769803860,Female,High,18 - 24
25769803861,Female,Low,< 18
25769803862,Female,High,< 18
25769803866,Female,Medium,25 - 34
25769803870,Male,Low,35 - 44
25769803871,Female,Medium,25 - 34
25769803872,Female,High,< 18
25769803873,Male,Low,35 - 44
25769803875,Female,High,25 - 34
25769803877,Female,Low,18 - 24
25769803878,Male,Low,25 - 34
25769803879,Male,Medium,25 - 34
25769803883,Female,Low,18 - 24
25769803885,Male,Medium,18 - 24
25769803886,Female,Low,25 - 34
25769803887,Male,Low,18 - 24
25769803889,Male,Medium,25 - 34
25769803892,Male,High,25 - 34
25769803894,Female,Low,< 18
25769803896,Female,Low,25 - 34
25769803899,Female,Medium,25 - 34
25769803900,Male,High,25 - 34
25769803905,Male,Medium,25 - 34
25769803916,Male,Medium,25 - 34
25769803917,Male,Medium,18 - 24
25769803921,Female,High,< 18
25769803929,Female,Low,25 - 34
25769803932,Male,Low,25 - 34
25769803934,Female,Low,25 - 34
25769803943,Female,Low,25 - 34
25769803950,Male,Low,35 - 44
25769803951,Female,Low,35 - 44
25769803952,Male,Low,25 - 34
25769803964,Male,Medium,25 - 34
25769803969,Female,High,18 - 24
25769803985,Female,Medium,25 - 34
25769803996,Male,Medium,< 18
25769804013,Male,Low,25 - 34
25769804016,Male,Low,25 - 34
25769804026,Male,Medium,18 - 24
25769804063,Female,Low,35 - 44
25769804071,Female,Low,35 - 44
25769804087,Male,Medium,18 - 24
25769804119,Female,Medium,25 - 34
25769804125,Female,Medium,18 - 24
25769804143,Male,Medium,35 - 44
25769804164,Male,Low,25 - 34
25769804175,Female,Medium,18 - 24
25769804181,Male,Medium,35 - 44
25769804210,Female,Low,< 18
25769804214,Female,Low,< 18
25769804221,Female,Medium,25 - 34
25769804224,Female,Medium,18 - 24
25769804230,Female,Low,18 - 24
25769804260,Female,Low,35 - 44
34359738403,Female,Medium,25 - 34
34359738406,Male,Low,18 - 24
34359738428,Female,High,25 - 34
34359738433,Male,High,25 - 34
34359738440,Female,Medium,25 - 34
34359738441,Female,High,25 - 34
34359738442,Male,Low,25 - 34
34359738443,Female,Medium,25 - 34
34359738444,Female,High,25 - 34
34359738445,Male,High,25 - 34
34359738451,Female,Medium,25 - 34
34359738454,Female,Low,25 - 34
34359738455,Male,Medium,35 - 44
34359738456,Female,Medium,18 - 24
34359738459,Female,Medium,25 - 34
34359738468,Male,Medium,< 18
34359738477,Female,Medium,25 - 34
34359738481,Female,Low,35 - 44
34359738482,Male,Low,25 - 34
34359738489,Female,Medium,25 - 34
34359738491,Female,Medium,25 - 34
34359738495,Male,Low,35 - 44
34359738500,Female,High,25 - 34
34359738501,Female,Low,25 - 34
34359738504,Female,Medium,< 18
34359738508,Female,Low,25 - 34
34359738509,Female,Medium,25 - 34
34359738510,Male,Low,35 - 44
34359738512,Male,High,18 - 24
34359738516,Female,Medium,25 - 34
34359738551,Female,Low,25 - 34
34359738558,Female,Medium,25 - 34
34359738559,Male,Low,35 - 44
34359738572,Female,Low,< 18
34359738586,Female,Medium,18 - 24
34359738609,Male,Low,18 - 24
34359738614,Female,Medium,25 - 34
34359738620,Male,Medium,25 - 34
34359738630,Female,Low,25 - 34
34359738634,Female,Low,45 - 54
34359738645,Female,Medium,25 - 34
34359738646,Male,Medium,25 - 34
34359738658,Male,Medium,< 18
34359738740,Female,Low,25 - 34
34359738759,Female,Low,25 - 34
34359738765,Female,High,35 - 44
34359738778,Female,Medium,18 - 24
34359738780,Female,Medium,18 - 24
34359738783,Male,High,18 - 24
34359738792,Male,High,25 - 34
34359738815,Female,Medium,25 - 34
34359738816,Female,Medium,18 - 24
34359738827,Female,Medium,18 - 24
34359738851,Female,Low,25 - 34
34359738858,Female,Low,25 - 34
42949673016,Male,Medium,25 - 34
42949673017,Female,Low,18 - 24
42949673018,Female,Low,< 18
42949673021,Male,Medium,25 - 34
42949673024,Male,Low,25 - 34
42949673025,Male,Medium,25 - 34
42949673026,Female,High,18 - 24
42949673029,Male,Low,55+
42949673030,Male,High,25 - 34
42949673031,Female,Medium,< 18
42949673032,Female,High,< 18
42949673034,Male,Low,25 - 34
42949673036,Female,High,25 - 34
42949673039,Female,Low,25 - 34
42949673050,Female,Low,18 - 24
42949673055,Male,High,25 - 34
42949673076,Male,Low,25 - 34
42949673081,Female,Low,< 18
42949673084,Male,Medium,55+
42949673085,Female,Low,25 - 34
42949673090,Female,Low,18 - 24
42949673098,Male,Low,18 - 24
42949673106,Male,High,35 - 44
42949673108,Female,Low,< 18
42949673112,Female,High,25 - 34
42949673113,Female,Low,25 - 34
42949673116,Female,Low,25 - 34
42949673122,Male,Low,25 - 34
42949673128,Male,High,25 - 34
42949673130,Male,Low,25 - 34
42949673167,Male,Medium,25 - 34
42949673177,Male,Low,25 - 34
42949673182,Female,High,25 - 34
42949673190,Male,Medium,25 - 34
42949673197,Male,Medium,25 - 34
42949673202,Male,Low,35 - 44
42949673203,Male,High,18 - 24
42949673223,Female,Low,25 - 34
42949673232,Female,Low,< 18
42949673239,Female,Medium,18 - 24
42949673244,Female,Low,18 - 24
42949673255,Male,Medium,35 - 44
42949673319,Female,Low,18 - 24
42949673380,Male,Low,25 - 34
42949673385,Male,Medium,25 - 34
42949673389,Female,Low,< 18
42949673393,Female,Medium,25 - 34
42949673412,Female,High,< 18
42949673483,Male,High,25 - 34
51539607599,Female,Medium,< 18
51539607601,Male,Medium,18 - 24
51539607607,Male,Low,25 - 34
51539607609,Male,Low,25 - 34
51539607610,Female,Low,< 18
51539607613,Male,Low,25 - 34
51539607614,Female,Low,25 - 34
51539607616,Female,High,25 - 34
51539607617,Female,High,25 - 34
51539607618,Male,Medium,35 - 44
51539607621,Female,Low,18 - 24
51539607622,Female,Low,25 - 34
51539607626,Female,Medium,25 - 34
51539607629,Female,Medium,25 - 34
51539607630,Female,High,< 18
51539607638,Male,Low,18 - 24
51539607639,Female,Low,25 - 34
51539607640,Male,Low,18 - 24
51539607641,Female,Low,35 - 44
51539607650,Male,High,35 - 44
51539607653,Male,Medium,35 - 44
51539607659,Male,Low,25 - 34
51539607660,Female,Low,18 - 24
51539607669,Female,High,18 - 24
51539607680,Female,Medium,25 - 34
51539607683,Male,Medium,25 - 34
51539607684,Female,High,25 - 34
51539607686,Male,Medium,25 - 34
51539607690,Male,Low,25 - 34
51539607716,Female,Medium,18 - 24
51539607722,Female,Medium,25 - 34
51539607733,Male,Low,35 - 44
51539607784,Female,Medium,< 18
51539607788,Female,Low,18 - 24
51539607790,Male,Low,35 - 44
51539607810,Female,Low,35 - 44
51539607833,Female,Low,18 - 24
51539607862,Male,Low,18 - 24
51539607872,Female,Low,18 - 24
51539607899,Male,Medium,25 - 34
51539607909,Female,Medium,18 - 24
51539607911,Male,Medium,18 - 24
51539607952,Male,Low,25 - 34
51539607955,Female,Medium,< 18
51539607967,Female,Low,25 - 34
51539607983,Male,Medium,25 - 34
51539607986,Male,Medium,18 - 24
51539608010,Male,Low,35 - 44
51539608013,Male,Low,18 - 24
51539608014,Male,Medium,35 - 44
51539608015,Female,Low,25 - 34
51539608019,Female,Medium,18 - 24
51539608037,Male,Medium,< 18
51539608066,Female,Low,< 18
51539608069,Female,Low,18 - 24
60129542166,Male,Medium,< 18
60129542180,Female,Low,25 - 34
60129542194,Female,Medium,18 - 24
60129542195,Female,Low,35 - 44
60129542198,Female,Low,25 - 34
60129542203,Female,Low,25 - 34
60129542205,Male,High,25 - 34
60129542207,Male,Medium,25 - 34
60129542208,Female,Medium,25 - 34
60129542219,Female,Medium,25 - 34
60129542222,Female,Low,25 - 34
60129542224,Male,Medium,25 - 34
60129542226,Female,Low,25 - 34
60129542228,Female,High,25 - 34
60129542232,Male,Low,25 - 34
60129542233,Male,Medium,25 - 34
60129542242,Female,Low,25 - 34
60129542251,Female,Medium,18 - 24
60129542254,Male,Low,18 - 24
60129542263,Female,Medium,25 - 34
60129542269,Male,Low,25 - 34
60129542270,Female,Medium,25 - 34
60129542271,Male,High,45 - 54
60129542272,Male,Medium,25 - 34
60129542275,Male,Low,25 - 34
60129542279,Female,Medium,25 - 34
60129542280,Male,Low,18 - 24
60129542283,Female,Medium,18 - 24
60129542285,Female,Low,18 - 24
60129542291,Male,High,25 - 34
60129542297,Female,Low,55+
60129542300,Female,Low,35 - 44
60129542313,Male,Medium,45 - 54
60129542315,Male,Low,18 - 24
60129542317,Male,Low,25 - 34
60129542322,Female,Low,< 18
60129542358,Male,Low,25 - 34
60129542368,Male,Medium,25 - 34
60129542381,Female,Low,18 - 24
60129542399,Female,Low,25 - 34
60129542402,Female,Low,18 - 24
60129542414,Female,Low,25 - 34
60129542418,Female,Medium,18 - 24
60129542419,Female,Medium,< 18
60129542427,Male,High,25 - 34
60129542431,Male,Medium,18 - 24
60129542438,Female,Low,18 - 24
60129542441,Female,Medium,< 18
60129542447,Male,Medium,25 - 34
60129542480,Female,High,18 - 24
60129542481,Male,Low,25 - 34
60129542491,Male,Medium,25 - 34
60129542512,Male,Low,25 - 34
60129542513,Female,Low,18 - 24
60129542551,Male,Medium,18 - 24
60129542552,Female,Low,18 - 24
60129542569,Female,Low,18 - 24
60129542594,Male,Low,< 18
60129542626,Female,Medium,25 - 34
60129542643,Female,Medium,25 - 34
60129542650,Female,Medium,25 - 34
60129542687,Female,Medium,18 - 24
68719476764,Male,Medium,35 - 44
68719476767,Male,Medium,18 - 24
68719476790,Female,High,18 - 24
68719476794,Female,Medium,18 - 24
68719476802,Female,Medium,25 - 34
68719476808,Male,Low,35 - 44
68719476810,Female,Low,18 - 24
68719476811,Female,Low,25 - 34
68719476813,Female,Medium,18 - 24
68719476818,Female,Medium,35 - 44
68719476822,Female,Medium,35 - 44
68719476823,Male,Medium,35 - 44
68719476828,Female,Low,55+
68719476829,Female,Low,18 - 24
68719476831,Male,Low,25 - 34
68719476832,Male,High,25 - 34
68719476838,Male,Medium,45 - 54
68719476841,Female,Medium,18 - 24
68719476853,Female,Medium,25 - 34
68719476857,Female,High,25 - 34
68719476861,Female,Low,35 - 44
68719476866,Female,Medium,18 - 24
68719476867,Male,Low,35 - 44
68719476879,Female,Low,25 - 34
68719476883,Female,High,35 - 44
68719476886,Male,Medium,25 - 34
68719476892,Male,Low,25 - 34
68719476893,Male,Low,25 - 34
68719476895,Female,Low,18 - 24
68719476898,Male,Medium,18 - 24
68719476905,Female,Medium,25 - 34
68719476906,Male,Low,25 - 34
68719476909,Female,Low,18 - 24
68719476910,Male,Low,25 - 34
68719476913,Male,Low,< 18
68719476921,Male,Medium,25 - 34
68719476924,Female,High,25 - 34
68719476948,Female,High,25 - 34
68719476952,Female,Medium,25 - 34
68719476960,Male,Medium,35 - 44
68719476974,Female,Low,18 - 24
68719477019,Female,Low,25 - 34
68719477025,Female,High,25 - 34
68719477026,Female,Low,25 - 34
68719477038,Male,Low,< 18
68719477047,Female,High,25 - 34
68719477090,Female,Medium,35 - 44
68719477092,Male,Low,25 - 34
68719477109,Female,Medium,25 - 34
68719477144,Female,Low,35 - 44
68719477149,Female,Low,< 18
68719477165,Male,Medium,25 - 34
68719477188,Female,Low,25 - 34
68719477190,Female,High,18 - 24
68719477195,Female,Medium,18 - 24
68719477211,Male,Medium,25 - 34
68719477215,Female,Medium,25 - 34
68719477264,Male,Low,25 - 34
68719477272,Male,Low,18 - 24
68719477287,Male,High,25 - 34
68719477298,Male,Low,35 - 44
68719477316,Female,Low,< 18
77309411361,Male,Low,18 - 24
77309411368,Male,Low,35 - 44
77309411370,Male,High,< 18
77309411374,Male,High,25 - 34
77309411376,Male,Low,25 - 34
77309411391,Female,Medium,18 - 24
77309411394,Female,Low,18 - 24
77309411396,Male,High,25 - 34
77309411397,Female,Low,25 - 34
77309411405,Male,Low,18 - 24
77309411406,Female,High,25 - 34
77309411410,Male,Low,25 - 34
77309411415,Male,Medium,25 - 34
77309411419,Female,Medium,25 - 34
77309411421,Male,Medium,25 - 34
77309411428,Male,Medium,25 - 34
77309411431,Female,Medium,18 - 24
77309411432,Female,Low,18 - 24
77309411438,Female,High,25 - 34
77309411440,Female,Low,35 - 44
77309411444,Female,Low,25 - 34
77309411446,Male,Low,< 18
77309411448,Female,Medium,25 - 34
77309411450,Female,High,< 18
77309411452,Female,Low,25 - 34
77309411455,Female,Medium,< 18
77309411456,Female,High,18 - 24
77309411462,Female,Medium,25 - 34
77309411464,Male,Low,25 - 34
77309411465,Male,High,< 18
77309411470,Male,High,35 - 44
77309411473,Female,Medium,18 - 24
77309411474,Male,Medium,35 - 44
77309411493,Female,Medium,18 - 24
77309411496,Female,Medium,35 - 44
77309411507,Female,High,< 18
77309411511,Female,Low,25 - 34
77309411513,Female,Low,18 - 24
77309411516,Female,Low,25 - 34
77309411518,Male,Medium,25 - 34
77309411522,Female,Low,18 - 24
77309411525,Female,Medium,< 18
77309411549,Male,Low,35 - 44
77309411557,Female,Low,25 - 34
77309411565,Female,High,25 - 34
77309411599,Female,Low,< 18
77309411618,Female,Medium,18 - 24
77309411627,Male,Low,25 - 34
77309411639,Female,Low,25 - 34
77309411682,Male,Low,25 - 34
77309411693,Male,High,18 - 24
77309411709,Male,Low,18 - 24
77309411727,Male,Low,25 - 34
77309411748,Female,Medium,< 18
77309411772,Female,Low,25 - 34
77309411779,Male,Medium,25 - 34
77309411834,Female,Medium,25 - 34
77309411849,Male,Low,18 - 24
77309411881,Male,Low,18 - 24
85899345963,Female,Medium,25 - 34
85899345967,Female,Low,18 - 24
85899345969,Male,Low,25 - 34
85899345971,Female,Medium,25 - 34
85899345985,Female,Low,25 - 34
85899345986,Female,Low,18 - 24
85899345988,Male,Low,18 - 24
85899345989,Female,Low,25 - 34
85899345990,Female,Medium,< 18
85899345991,Female,High,35 - 44
85899345993,Female,High,25 - 34
85899345994,Female,Medium,25 - 34
85899345997,Female,Medium,45 - 54
85899346000,Male,Low,18 - 24
85899346002,Female,Medium,18 - 24
85899346012,Male,Medium,25 - 34
85899346013,Male,Low,25 - 34
85899346014,Female,Low,25 - 34
85899346018,Female,Low,18 - 24
85899346024,Male,Medium,25 - 34
85899346025,Female,Low,25 - 34
85899346026,Female,Low,25 - 34
85899346030,Male,Low,18 - 24
85899346042,Female,Medium,25 - 34
85899346043,Female,Low,25 - 34
85899346044,Female,Medium,18 - 24
85899346058,Female,Medium,18 - 24
85899346060,Male,Medium,25 - 34
85899346063,Male,Low,25 - 34
85899346067,Female,Medium,18 - 24
85899346070,Male,High,25 - 34
85899346073,Female,Medium,25 - 34
85899346082,Male,Low,25 - 34
85899346087,Male,Low,18 - 24
85899346091,Male,Low,25 - 34
85899346099,Female,Medium,25 - 34
85899346101,Male,Low,< 18
85899346103,Female,Medium,18 - 24
85899346114,Male,Low,25 - 34
85899346120,Male,Medium,25 - 34
85899346127,Male,Medium,18 - 24
85899346137,Male,Medium,25 - 34
85899346159,Female,Low,18 - 24
85899346194,Female,Medium,25 - 34
85899346222,Female,Medium,25 - 34
85899346246,Male,Medium,25 - 34
85899346249,Male,Low,18 - 24
85899346255,Male,Medium,35 - 44
85899346292,Male,Low,25 - 34
85899346295,Female,Low,< 18
85899346325,Female,Medium,25 - 34
85899346359,Female,Medium,18 - 24
85899346361,Male,Low,25 - 34
85899346373,Male,Low,18 - 24
85899346394,Female,Low,25 - 34
85899346407,Male,Medium,25 - 34
85899346412,Male,Low,< 18
85899346415,Male,Medium,18 - 24
85899346417,Female,Medium,18 - 24
85899346439,Male,Medium,< 18
85899346481,Female,Medium,18 - 24
94489280551,Male,Medium,18 - 24
94489280558,Male,Medium,18 - 24
94489280565,Male,Low,25 - 34
94489280566,Male,High,18 - 24
94489280567,Female,High,18 - 24
94489280569,Female,Medium,< 18
94489280575,Female,Medium,25 - 34
94489280577,Female,High,25 - 34
94489280581,Male,Medium,25 - 34
94489280583,Male,Low,25 - 34
94489280586,Female,Low,25 - 34
94489280588,Male,High,45 - 54
94489280597,Male,Low,25 - 34
94489280602,Female,Low,25 - 34
94489280604,Male,Low,25 - 34
94489280605,Female,Low,25 - 34
94489280610,Male,Low,35 - 44
94489280613,Female,Low,25 - 34
94489280614,Female,Low,45 - 54
94489280617,Male,Medium,35 - 44
94489280619,Female,High,18 - 24
94489280620,Male,Medium,18 - 24
94489280630,Male,Medium,35 - 44
94489280636,Male,Low,25 - 34
94489280639,Male,Low,25 - 34
94489280646,Male,Low,25 - 34
94489280651,Female,Low,18 - 24
94489280666,Male,Low,25 - 34
94489280670,Male,Low,25 - 34
94489280682,Female,Medium,18 - 24
94489280686,Female,Low,25 - 34
94489280697,Male,Low,35 - 44
94489280701,Male,Low,18 - 24
94489280706,Female,Low,18 - 24
94489280709,Male,Low,25 - 34
94489280711,Female,Medium,< 18
94489280713,Male,Low,18 - 24
94489280715,Female,Medium,< 18
94489280716,Female,Low,18 - 24
94489280718,Male,Medium,18 - 24
94489280744,Male,Low,25 - 34
94489280750,Female,Medium,< 18
94489280769,Female,Low,18 - 24
94489280776,Male,Low,35 - 44
94489280800,Male,Low,25 - 34
94489280844,Male,Low,25 - 34
94489280852,Male,Low,18 - 24
94489280855,Male,High,18 - 24
94489280858,Male,Low,18 - 24
94489280864,Male,High,25 - 34
94489280883,Female,High,25 - 34
94489280931,Female,Low,< 18
94489280943,Female,Low,25 - 34
94489280947,Male,Low,25 - 34
94489280963,Male,Low,25 - 34
94489280983,Female,High,25 - 34
94489280987,Female,Low,< 18
94489281028,Male,Low,< 18
94489281050,Male,Medium,25 - 34
103079215125,Male,Medium,25 - 34
103079215143,Male,Low,35 - 44
103079215156,Female,High,25 - 34
103079215159,Male,Medium,25 - 34
103079215160,Female,Medium,25 - 34
103079215162,Male,Low,< 18
103079215163,Male,Medium,18 - 24
103079215165,Female,Medium,18 - 24
103079215168,Female,High,25 - 34
103079215169,Male,Medium,25 - 34
103079215171,Female,Low,25 - 34
103079215172,Male,Medium,35 - 44
103079215175,Male,Medium,25 - 34
103079215179,Male,Medium,< 18
103079215181,Male,Low,25 - 34
103079215182,Male,Low,25 - 34
103079215183,Male,High,< 18
103079215187,Female,Low,25 - 34
103079215193,Female,Medium,25 - 34
103079215206,Female,Medium,18 - 24
103079215209,Male,Low,35 - 44
103079215210,Male,Medium,18 - 24
103079215213,Female,Medium,25 - 34
103079215214,Female,Medium,18 - 24
103079215221,Female,High,25 - 34
103079215222,Female,Medium,18 - 24
103079215226,Female,Low,< 18
103079215241,Female,Low,25 - 34
103079215243,Male,Low,18 - 24
103079215248,Female,Low,25 - 34
103079215253,Female,Low,35 - 44
103079215255,Female,Low,< 18
103079215260,Female,Low,< 18
103079215262,Female,Low,18 - 24
103079215263,Female,Low,25 - 34
103079215270,Male,Low,25 - 34
103079215272,Female,Medium,18 - 24
103079215277,Female,Medium,18 - 24
103079215278,Male,Low,25 - 34
103079215281,Male,Low,25 - 34
103079215282,Male,Low,25 - 34
103079215291,Female,Low,25 - 34
103079215301,Female,Low,25 - 34
103079215306,Female,Low,35 - 44
103079215318,Male,Medium,25 - 34
103079215323,Female,Low,< 18
103079215324,Male,Low,18 - 24
103079215333,Male,High,25 - 34
103079215335,Female,Low,25 - 34
103079215374,Female,Medium,45 - 54
103079215415,Female,Medium,25 - 34
103079215464,Female,Medium,25 - 34
103079215513,Male,Low,18 - 24
103079215514,Female,High,25 - 34
103079215523,Female,Medium,25 - 34
103079215527,Female,Low,25 - 34
103079215551,Female,Low,18 - 24
103079215570,Female,Medium,18 - 24
103079215572,Female,Low,18 - 24
103079215576,Male,Low,25 - 34
103079215644,Female,Low,18 - 24
103079215658,Male,Medium,18 - 24
103079215671,Female,Medium,18 - 24
111669149728,Male,Low,< 18
111669149750,Male,Medium,25 - 34
111669149754,Female,Medium,25 - 34
111669149757,Male,High,< 18
111669149758,Male,Low,18 - 24
111669149761,Female,Low,18 - 24
111669149766,Male,Low,18 - 24
111669149769,Male,Medium,35 - 44
111669149777,Female,Medium,25 - 34
111669149781,Female,Low,< 18
111669149782,Female,Medium,25 - 34
111669149783,Male,Medium,35 - 44
111669149785,Female,Medium,25 - 34
111669149792,Female,Low,25 - 34
111669149800,Female,High,< 18
111669149813,Male,Low,25 - 34
111669149817,Female,Medium,18 - 24
111669149820,Female,Medium,25 - 34
111669149822,Female,Medium,25 - 34
111669149824,Female,Low,25 - 34
111669149825,Female,Low,< 18
111669149831,Female,Low,25 - 34
111669149832,Female,Medium,35 - 44
111669149841,Female,Low,18 - 24
111669149844,Female,Low,25 - 34
111669149855,Male,Low,< 18
111669149856,Male,Low,18 - 24
111669149870,Female,High,35 - 44
111669149877,Male,Low,< 18
111669149883,Female,High,18 - 24
111669149884,Female,Low,25 - 34
111669149886,Male,Low,35 - 44
111669149895,Male,Medium,25 - 34
111669149920,Female,Low,25 - 34
111669149950,Female,Medium,< 18
111669149982,Male,Low,25 - 34
111669150009,Female,High,18 - 24
111669150070,Female,High,18 - 24
